id,nomsNumber,crn,createdBy,createdAt,submittedAt,state,statusUpdates,location,referringPrisonCode,applicationOrigin,bailHearingDate
6d6f8774-e8eb-449b-bd42-01fa9407e764,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-02-20T17:00+01:00","","IN_PROGRESS","0","","",homeDetentionCurfew,2023-11-15T15:00+01:00
49663e56-805d-43e6-8a8e-e2caacf9a6e8,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",prisonBail,2023-11-15T15:00+01:00
c990cb33-93e2-48b2-ba41-28c5b66c1318,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
1f347f9b-2f47-4280-8422-33cd5157d33f,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-11-13T15:00+01:00","2023-11-15T15:00+01:00","SUBMITTED","0","","ACI",homeDetentionCurfew,2023-11-15T15:00+01:00
e8dad190-03a7-4589-9765-b094bd2f6689,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-11-10T10:00+01:00","2023-11-12T10:00+01:00","SUBMITTED","0","","LEI",prisonBail,2023-11-15T15:00+01:00
c0176d76-0f39-45ab-bb8d-86f553e4dc45,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-11-20T17:00+01:00","2023-11-22T17:00+01:00","SUBMITTED","0","","LEI",courtBail,2023-11-15T15:00+01:00
7da53eb1-2b0c-4921-9cc3-ee3f16a7821d,A5276DZ,X698234,CAS2V2_DELIUS_PB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","0","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
cc2a3fb3-405e-4d03-9a3b-610da2e2492b,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","1","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
7371f253-266d-4abc-8ff7-3835b64ba753,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2022-12-13T15:00+01:00","","NOT_STARTED","0","","",prisonBail,2023-11-15T15:00+01:00
a082f32e-c2bb-4cba-9f34-fc5853f79a0a,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-01-10T10:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
418e7a40-1638-461a-8335-3dca8ebb2662,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-02-20T17:00+01:00","","IN_PROGRESS","0","","",homeDetentionCurfew,2023-11-15T15:00+01:00
b0410e6a-81d3-48e7-b97d-67431b91ac3c,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",prisonBail,2023-11-15T15:00+01:00
90b9a6a5-53c6-4f97-b7e7-172bf5b5a6bf,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
fa533dad-9dc4-44de-af26-5dec729396d1,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-11-13T15:00+01:00","2023-11-15T15:00+01:00","SUBMITTED","0","","ACI",homeDetentionCurfew,2023-11-15T15:00+01:00
2da51284-8b62-491a-a0df-5776e3dde9ce,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-11-10T10:00+01:00","2023-11-12T10:00+01:00","SUBMITTED","0","","LEI",prisonBail,2023-11-15T15:00+01:00
54c94371-5fbb-4ae0-a513-3900f0cbb804,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-11-20T17:00+01:00","2023-11-22T17:00+01:00","SUBMITTED","0","","LEI",courtBail,2023-11-15T15:00+01:00
450ff3e0-106a-4ba6-a7c4-6a05851859e4,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","0","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
becae738-c209-4fb4-9687-529e2fc53fe5,A5276DZ,X698234,CAS2V2_DELIUS_CB,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","1","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
